"Story","Title","Result","Date","Stability","Duration (s)"
"Login Forgot Password","Browser Launch","SUCCESS","2022-08-10T11:20:41.9922335+05:30[Asia/Calcutta]","0.0","18.57"
"Login Forgot Password","Forgot Password","SUCCESS","2022-08-10T11:21:00.5872104+05:30[Asia/Calcutta]","0.0","10.92"
